"","PERF61","PERF65","PERF70","PERF75","PERF80"
"1",1e+06,1e+06,1e+06,1e+06,1e+06
"2",984896.874,987129.965,989462.9066,991372.9576,992936.775
"3",983944.5277,986316.5889,988795.3967,990825.3917,992487.7589
"4",983162.7978,985648.8368,988247.3135,990375.7379,992118.9958
"5",982533.3621,985111.1108,987805.9,990013.5608,991821.9483
"6",982027.785,984679.1561,987451.278,989722.5719,991583.2716
"7",981620.4087,984331.0757,987165.4916,989488.0516,991390.9016
"8",981282.7629,984042.5584,986928.5934,989293.6394,991231.4243
"9",980989.3532,983791.8279,986722.7106,989124.6729,991092.8152
"10",980732.6495,983572.034,986541.7898,988975.831,990970.4186
"11",980490.517,983364.3395,986370.4416,988834.5463,990853.9751
"12",980255.6971,983162.7131,986203.8897,988697.044,990740.5073
"13",980029.875,982968.806,986043.7084,988564.7972,990631.3737
"14",979797.6989,982769.3411,985878.832,988428.5892,990518.9014
"15",979552.0094,982558.1948,985704.2266,988284.284,990399.6945
"16",979294.5166,982336.8057,985521.0501,988132.8127,990274.5003
"17",979023.6874,982103.7858,985328.0813,987973.1054,990142.3849
"18",978738.4304,981858.1095,985124.3818,987804.3113,990002.5829
"19",978441.0042,981601.648,984911.4255,987627.5868,989855.9984
"20",978130.1117,981333.2401,984688.203,987442.0567,989701.8732
"21",977813.0484,981059.1891,984459.961,987252.0844,989543.8339
"22",977495.8298,980784.7518,984231.1367,987061.4116,989385.0333
"23",977180.8331,980512.0739,984003.6114,986871.6829,989226.9047
"24",976870.1107,980243.0272,983779.0459,986684.3653,989070.7391
"25",976565.6169,979979.382,983558.9995,986500.8276,988917.7344
"26",976264.5643,979718.7717,983341.5458,986319.5033,988766.6183
"27",975967.0289,979461.2731,983126.7598,986140.4644,988617.4586
"28",975671.0778,979205.1939,982913.2099,985962.5008,988469.2328
"29",975375.1182,978949.1178,982699.6753,985784.5617,988321.0384
"30",975075.7157,978690.0287,982483.5942,985604.4737,988171.0327
"31",974771.8124,978426.9661,982264.1193,985421.4918,988018.5631
"32",974460.5822,978157.4383,982039.1237,985233.8031,987862.0857
"33",974139.6158,977879.2993,981806.754,985039.8095,987700.2247
"34",973808.741,977592.3089,981566.7147,984839.1847,987532.6416
"35",973464.6981,977293.4996,981316.376,984629.6069,987357.2927
"36",973104.9085,976980.4297,981053.4792,984409.0051,987172.2933
"37",972725.792,976649.7244,980774.9146,984174.5354,986975.0591
"38",972324.3139,976298.4386,980477.8822,983923.5668,986763.1419
"39",971897.7478,975923.8853,980159.7822,983653.6175,986534.1983
"40",971442.1343,975522.3153,979817.1298,983361.4643,986285.2597
"41",970954.962,975091.3015,979447.6127,983044.9174,986014.2636
"42",970432.4575,974627.3615,979048.0779,982701.1191,985718.6187
"43",969871.0465,974127.2299,978615.6016,982327.4456,985395.9652
"44",969265.192,973585.8875,978145.7389,981919.955,985042.8026
"45",968610.0192,972998.8341,977634.4168,981474.9603,984655.7933
"46",967902.3822,972362.9896,977078.6579,980989.6042,984232.2117
"47",967137.5429,971673.6688,976473.8876,980459.461,983767.8095
"48",966313.2244,970928.2096,975817.0851,979881.2657,983259.1721
"49",965427.1576,970123.8005,975104.913,979251.3003,982702.3225
"50",964474.9616,969255.6145,974332.1249,978564.0314,982091.5522
"51",963453.8334,968320.2531,973494.7154,977814.983,981422.034
"52",962360.5265,967314.0286,972588.5336,976999.6326,980688.9576
"53",961191.4846,966233.1984,971609.6268,976113.8468,979888.04
"54",959944.826,965075.8996,970556.1192,975155.7073,979017.3029
"55",958618.0953,963840.1338,969426.4712,974124.0292,978075.8287
"56",957211.2065,962526.5013,968221.984,973020.6623,977065.8862
"57",955725.8575,961137.6042,966946.1974,971849.8939,975992.3455
"58",954164.8684,959677.3113,965604.0767,970617.5745,974861.755
"59",952533.7217,958152.053,964203.0287,969331.88,973682.8781
"60",950840.2586,956570.3969,962752.3411,968002.633,972465.9119
"61",949092.7993,954941.1878,961261.3503,966639.5026,971220.7217
"62",947300.6089,953273.9391,959739.75,965252.2389,969957.0106
"63",945543.4915,951643.4231,958256.3652,963904.1016,968732.8489
"64",943502.5509,949754.7843,956544.1292,962353.4187,967329.7107
"65",941194.1487,947625.0247,954620.5393,960617.8954,965765.2712
"66",938661.1613,945295.5581,952525.0599,958734.9576,964074.871
"67",935966.8911,942826.2888,950313.4276,956756.2995,962306.3157
"68",933164.5015,940267.3269,948032.0132,954724.6734,960498.888
"69",930271.6311,937634.808,945695.1684,952652.7593,958663.7143
"70",927274.2219,934916.7328,943293.0563,950532.4898,956794.1642
"71",924153.8483,932096.9414,940811.9363,948352.145,954880.2001
"72",920879.7822,929146.7382,938225.4913,946087.6068,952899.729
"73",917434.314,926049.931,935519.2422,943725.9185,950841.1426
"74",913797.8779,922789.5302,932678.9773,941255.2099,948694.5327
"75",909899.0781,919297.7419,929641.5354,938616.9732,946405.9673
"76",905676.0738,915518.831,926358.0985,935768.5517,943938.2465
"77",901052.9018,911382.44,922765.0163,932652.6006,941239.8876
"78",895934.6633,906800.279,918782.0178,929196.4851,938245.4312
"79",890187.4001,901645.5449,914291.5204,925291.8823,934855.6389
"80",883686.266,895801.3047,909186.3815,920841.1417,930981.9142
"81",876282.8948,889124.821,903331.8131,915718.0452,926506.8948
"82",867797.342,881441.1867,896560.6787,909764.357,921281.9326
"83",858063.4937,872587.0662,888714.8455,902828.5725,915163.129
"84",846810.7366,862292.1412,879527.9143,894651.3288,907900.5014
"85",833853.3281,850369.9531,868814.8588,885051.1412,899317.7536
"86",818845.9491,836468.5209,856220.5468,873674.5763,889067.1009
"87",801560.4199,820347.3273,841493.4503,860263.4554,876887.4788
"88",781425.8229,801425.0263,824045.7257,844229.842,862196.3326
"89",758198.5055,779422.9137,803561.6897,825228.352,844625.3574
"90",731781.1913,754196.722,779844.4729,803016.5077,823893.3873
"91",702164.5091,725685.6555,752773.4979,777419.6032,799777.6209
"92",669412.4137,693901.4771,722297.7365,748327.6069,772113.6145
"93",633601.7166,658857.6726,688352.9781,715601.732,740692.3441
"94",594933.2424,620687.3408,650986.0351,679202.7026,705390.4245
"95",553837.9188,579774.49,610515.6923,639378.8775,666382.6221
"96",509796.8347,535561.4755,566332.4592,595466.335,622949.245
"97",463403.7594,488600.4812,518925.8038,547881.8925,575426.6285
"98",415366.6046,439574.8636,468935.1549,497207.9401,524328.8392
