"","PERM1961","PERM1965","PERM1970","PERM1975","PERM1980"
"1",1e+06,1e+06,1e+06,1e+06,1e+06
"2",984778.8809,987029.4179,989380.5855,991305.5588,992881.5936
"3",983866.0513,986249.7781,988740.75,990780.6865,992451.1813
"4",983109.5989,985603.6102,988210.3762,990345.5573,992094.327
"5",982486.2491,985071.079,987773.2234,989986.8736,991800.143
"6",981974.8853,984634.1771,987414.5372,989692.548,991558.7282
"7",981550.7904,984271.8086,987117.0172,989448.3972,991358.4576
"8",981191.7322,983964.9912,986865.0902,989241.6497,991188.8603
"9",980872.6144,983692.2883,986641.1619,989057.8712,991038.099
"10",980580.94,983443.0253,986436.4708,988889.8738,990900.279
"11",980300.7856,983203.5966,986239.8466,988728.4911,990767.8814
"12",980018.0105,982961.9181,986041.3658,988565.5788,990634.2249
"13",979746.4015,982729.7729,985850.706,988409.0801,990505.8265
"14",979460.2677,982485.2033,985649.8334,988244.1928,990370.5418
"15",979149.0585,982219.1893,985431.3381,988064.8331,990223.3785
"16",978795.7995,981917.2179,985183.2963,987861.2109,990056.3027
"17",978393.1315,981572.9927,984900.5311,987629.073,989865.8219
"18",977934.7967,981181.1561,984578.6349,987364.7966,989648.9606
"19",977418.9878,980740.1536,984216.3223,987067.3208,989404.8446
"20",976841.1117,980246.0468,983810.3481,986733.9743,989131.2773
"21",976206.9528,979703.7687,983364.7539,986368.0685,988830.9711
"22",975528.032,979123.1581,982887.6138,985976.2262,988509.3567
"23",974817.7241,978515.6431,982388.3102,985566.1464,988172.7492
"24",974093.6685,977896.303,981879.2306,985147.999,987829.4936
"25",973366.1877,977273.9648,981367.6279,984727.7397,987484.4778
"26",972647.0595,976658.7039,980861.7849,984312.1724,987143.2876
"27",971941.7381,976055.1897,980365.5428,983904.4545,986808.5163
"28",971250.2576,975463.4551,979878.932,983504.6132,986480.1877
"29",970570.3381,974881.5526,979400.354,983111.3368,986157.2261
"30",969902.15,974309.6311,978929.9338,982724.73,985839.7185
"31",969239.5004,973742.3923,978463.3156,982341.2145,985524.7272
"32",968578.9541,973176.8968,977998.0824,981958.8041,985210.6215
"33",967917.5045,972610.571,977532.117,981575.7589,984895.972
"34",967250.6708,972039.5776,977062.2616,981189.4825,984578.6459
"35",966576.3506,971462.1149,976587.0322,980798.754,984257.6395
"36",965891.0412,970875.1809,976103.9561,980401.5391,983931.2806
"37",965188.4338,970273.3688,975608.5805,979994.1742,983596.5576
"38",964463.0761,969652.0034,975097.0521,979573.4876,983250.8624
"39",963707.2543,969004.4694,974563.9191,979134.9913,982890.5043
"40",962911.4169,968322.5738,974002.4271,978673.1243,982510.9092
"41",962063.1513,967595.6674,973403.7956,978180.656,982106.1292
"42",961151.7974,966814.5969,972760.4705,977651.3612,981671.0402
"43",960165.7179,965969.3646,972064.197,977078.4345,981200.0388
"44",959104.1056,965056.2868,971308.8521,976454.2892,980684.7868
"45",957956.8853,964065.7019,970485.3895,975770.5572,980117.6198
"46",956717.6978,962990.8793,969586.8896,975020.3597,979491.8639
"47",955377.7654,961822.6586,968604.0244,974194.4635,978798.5704
"48",953930.0897,960553.0621,967528.0295,973283.7059,978028.4765
"49",952366.7363,959172.9586,966348.7522,972277.3446,977170.5934
"50",950679.3309,957672.6585,965055.3082,971163.7262,976212.8502
"51",948856.7499,956040.2809,963635.1258,969929.8465,975142.038
"52",946889.0764,954265.6095,962077.6685,968564.9316,973947.239
"53",944764.6218,952337.4872,960372.2867,967058.7185,972618.501
"54",942473.3815,950246.9843,958511.0973,965404.1114,971149.3189
"55",940006.8799,947987.2333,956488.8421,963597.0925,969536.6164
"56",937360.2532,945555.0934,954304.1185,961637.6046,967781.3547
"57",934529.7105,942948.3876,951956.4083,959526.4424,965885.3478
"58",931514.3218,940167.1859,949446.8077,957265.5105,963851.1223
"59",928315.9009,937213.5476,946777.6112,954857.2692,961681.2448
"60",924939.2548,934091.9504,943952.9138,952305.4607,959379.1329
"61",921393.9908,930811.1511,940980.5039,949617.0044,956950.9281
"62",917688.9477,927379.2848,937867.7088,946798.4948,954402.562
"63",913832.5729,923804.5008,934622.2968,943857.3145,951741.031
"64",909532.8623,919816.8993,931000.1447,940573.068,948767.674
"65",904830.4886,915455.5771,927038.3762,936980.9181,945515.7203
"66",899772.1317,910765.9229,922780.6486,933122.6933,942025.1036
"67",894434.5222,905821.7324,918297.02,929064.6879,938358.3726
"68",888908.765,900709.9674,913669.2962,924883.6286,934587.2972
"69",883267.7814,895497.8539,908958.0915,920634.0673,930760.8921
"70",877555.7728,890226.9858,904201.8612,916351.4677,926911.7852
"71",871771.4575,884895.9009,899398.9753,912034.0807,923038.1446
"72",865861.5355,879452.3968,894498.9555,907633.4434,919093.7238
"73",859713.726,873791.3407,889405.2781,903061.2082,914997.8711
"74",853186.1726,867782.0268,884000.317,898211.833,910656.1251
"75",846071.3423,861225.3744,878096.0989,892908.7649,905903.4151
"76",838212.2433,853975.153,871559.3418,887030.9862,900630.2194
"77",829474.9791,845902.9896,864269.0364,880465.1265,894730.8802
"78",819743.64,836895.9379,856116.7951,873108.0342,888107.9153
"79",808873.5946,826808.805,846958.6392,864818.6603,880624.5282
"80",796730.7521,815511.3501,836670.0103,855478.8054,872169.2942
"81",783122.8169,802811.9611,825062.2824,844904.7282,862564.8062
"82",767834.6992,788492.5572,811916.6481,832879.6957,851598.6618
"83",750732.4989,772411.2313,797084.273,819250.93,839116.6606
"84",731572.9343,754303.7028,780280.6643,803719.8024,824811.3889
"85",710298.5473,734095.5897,761413.5494,786179.6064,808564.8989
"86",686697.886,711538.4784,740195.2295,766310.8039,790032.812
"87",660771.3731,686598.4655,716552.6737,744005.767,769077.5554
"88",632233.4738,658946.6127,690108.3288,718844.9768,745244.4082
"89",601229.1119,628676.3631,660893.1454,690800.1885,718450.1816
"90",568024.5486,596004.8996,629061.9969,659964.538,688728.2568
"91",532998.6822,561268.5389,594894.0553,626557.5865,656237.859
"92",496627.3126,524911.7049,558787.8135,590926.3454,621270.8458
"93",459284.6733,487275.4797,521035.0744,553306.5324,584001.9956
"94",420923.4141,448280.0804,481508.3647,513516.4908,544190.562
"95",381588.7551,407957.0499,440213.4254,471527.3814,501765.4941
"96",341251.6439,366262.4425,397079.0009,427231.5436,456574.4815
"97",300631.6835,323931.8876,352847.2092,381362.7879,409328.8866
"98",260436.0541,281708.631,308294.1903,334716.0595,360828.2214
"99",221668.9917,240700.8606,264651.4898,288637.0542,312521.5276
"100",185201.0226,201867.5411,222983.5989,244288.4904,265660.9414
"101",151472.1342,165713.1204,183873.5673,202328.1904,220973.6926
"102",120878.9694,132706.5161,147881.7632,163407.4516,179199.7357
"103",94020.0771,103569.1375,115892.8895,128583.1605,141574.9624
"104",70997.0972,78458.3253,88140.5866,98171.6376,108503.579
"105",51800.6543,57411.9524,64730.0303,72353.8273,80249.9001
"106",36302.8575,40336.8358,45620.4793,51151.2093,56906.9475
"107",24257.3086,27005.2182,30616.3808,34410.4554,38373.6182
"108",15308.6569,17062.0107,19370.6561,21801.5091,24346.2594
"109",9019.6053,10052.652,11412.8674,12845.0854,14344.4099
"110",4993.6674,5565.6095,6318.6872,7111.6288,7941.7236
"111",2567.1559,2861.1812,3248.3251,3655.9623,4082.6993
"112",1206.426,1344.6021,1526.5391,1718.1068,1918.6503
"113",507.54,565.6703,642.2107,722.8027,807.1708
"114",185.7168,206.9876,234.9949,264.4848,295.3564
"115",56.7517,63.2517,71.8102,80.8218,90.2556
"116",13.6598,15.2243,17.2843,19.4533,21.724
"117",2.3849,2.658,3.0177,3.3964,3.7928
"118",0.2753,0.3068,0.3483,0.392,0.4378
"119",0.0215,0.0239,0.0272,0.0306,0.0341
"120",0.0015,0.0017,0.0019,0.0021,0.0024
"121",0,0,0,0,0
