"","lxL1961","lxL1965","lxL1970","lxL1975","lxL1980"
"1",1e+05,1e+05,1e+05,1e+05,1e+05
"2",95602.4,96677.1,97482.5,98339.8,98967.8
"3",95330.6023768,96518.3562018,97345.63457,98233.101317,98882.7866598
"4",95190.180399499,96430.2349425878,97259.9704115784,98159.5247241136,98842.3436000561
"5",95107.5553229122,96368.4231619896,97197.8212904854,98111.0339188999,98809.2314149501
"6",95045.354981731,96316.1914766358,97154.0822709047,98076.7931680622,98783.0469686251
"7",94997.4521228202,96273.9086685775,97119.8840339453,98044.1335959372,98760.0305186815
"8",94955.8432387904,96233.1848052107,97091.1365482713,98020.2108273398,98735.6367911433
"9",94921.3742676947,96197.963459572,97061.2324782144,97998.1562799036,98715.7909281483
"10",94889.5756073151,96168.1420908995,97033.5700269582,97978.5566486477,98700.7861279272
"11",94865.4736551108,96134.5794093098,97007.759097331,97962.292208244,98685.0927029329
"12",94842.4213450126,96107.373323337,96983.3131420385,97945.2467693998,98669.4017731931
"13",94816.6242064067,96083.1542652595,96966.8259788043,97928.7919679425,98654.5026935254
"14",94793.5837667246,96062.3042207839,96946.3659785228,97911.7523581401,98636.5475740352
"15",94765.9988338485,96035.3107132979,96930.4667745023,97896.5760365246,98625.5989172544
"16",94737.5690341983,96006.3080494625,96907.8819757438,97873.668237732,98608.5366886417
"17",94711.0425148688,95974.7219741142,96884.7209919516,97846.9487263031,98592.2662800881
"18",94671.54801014,95944.2979872484,96852.7490340243,97822.9762238652,98564.3646687309
"19",94640.4010708447,95911.6769259327,96822.2404180786,97792.748924212,98540.3149637517
"20",94603.9645164324,95877.2446339163,96785.9320779218,97765.5625400111,98513.1178368217
"21",94574.3534755388,95839.6607540198,96744.2173411962,97742.001039439,98486.4207818879
"22",94538.793518632,95803.4333622548,96702.5205835222,97715.4152151562,98457.9582062819
"23",94504.3813977912,95765.0161854766,96663.2593601652,97692.158946335,98435.2144179363
"24",94469.2257679112,95727.9551242128,96629.0405663518,97669.0059046647,98404.2073253946
"25",94432.3827698617,95686.3134637337,96591.0653534092,97642.2445970468,98380.0982945999
"26",94394.1376548399,95645.6467805117,96557.1618894701,97612.5613546893,98356.9789715007
"27",94355.4360584014,95602.4149481669,96516.3182099909,97584.4489370192,98335.7338640428
"28",94317.505173106,95551.0764513397,96474.1405789331,97556.7349535211,98312.8216380525
"29",94272.7986756539,95500.9121362027,96440.4711038711,97528.3459436496,98292.5691967951
"30",94222.5512739598,95444.7575998666,96399.580344123,97499.0874398665,98271.4362944177
