;LC1961;LC1965;LC1970;LC1975;LC1980
1;1.00E+05;1.00E+05;1.00E+05;1.00E+05;1.00E+05
2;94514.8;95684;96766.5;97911.3;98637.7
3;94209.32817;95514.44795;96594.933;97788.02967;98535.11679
4;94043.70817;95410.05066;96499.01423;97712.6351;98469.4924
5;93950.6049;95334.00885;96431.17542;97652.34641;98417.30357
6;93867.83441;95262.88968;96372.83456;97599.22353;98381.18442
7;93814.14201;95207.16089;96324.35902;97553.83989;98348.62025
8;93759.44837;95158.89086;96281.01306;97520.37892;98318.32888
9;93718.28797;95113.78554;96235.47214;97494.04842;98290.60311
10;93673.39691;95074.1231;96190.14524;97460.90045;98269.17576
11;93631.99327;95034.38211;96158.49868;97437.11999;98244.01885
12;93594.915;94999.7896;96118.88138;97408.86322;98224.86126
13;93555.97951;94971.09966;96091.39138;97383.73173;98204.43049
14;93520.24113;94934.1559;96061.89132;97359.9701;98182.82552
15;93480.30799;94898.93533;96028.94209;97331.73571;98153.56704
16;93433.38087;94847.68991;95987.07347;97294.26299;98123.53204
17;93382.17938;94796.18761;95939.17592;97248.82657;98091.44565
18;93320.08023;94733.81172;95874.60886;97175.9872;98046.71595
19;93237.212;94660.39301;95793.11544;97103.88262;97986.80941
20;93140.9912;94573.21079;95688.89253;97020.56749;97908.32197
21;93042.07546;94465.49191;95576.55377;96939.9434;97830.68067
22;92940.56656;94369.1371;95441.69525;96857.35056;97747.03544
23;92849.11304;94249.19393;95301.87317;96769.30723;97672.84544
24;92730.45188;94113.00385;95166.73511;96687.24686;97586.3073
25;92628.8193;93969.95208;95049.58486;96597.61778;97506.18894
26;92506.27137;93824.01674;94940.46794;96519.18052;97439.00718
27;92390.176;93661.60737;94814.387;96431.92718;97365.44073
28;92251.49835;93487.86509;94697.95493;96354.49234;97297.38228
29;92104.54171;93306.68561;94577.87792;96270.47122;97237.73899
30;91935.06935;93126.69701;94471.76154;96196.63177;97175.60407
31;91756.89919;92923.77394;94361.513;96121.79079;97120.99138
32;91553.29063;92725.8463;94262.43341;96051.81413;97067.8662
33;91340.15457;92519.06766;94154.87997;95975.74109;97015.44955
34;91133.17778;92358.26952;94048.29665;95912.20515;96963.93435
35;90921.74881;92208.18733;93935.15655;95841.80559;96908.9558
36;90684.98857;92064.8036;93832.67329;95766.37809;96854.20224
37;90462.17556;91914.09352;93715.28862;95698.67126;96793.76522
38;90287.58356;91765.74417;93607.70347;95629.57682;96728.8166
39;90111.43248;91617.45073;93503.33088;95553.36005;96660.52606
40;89946.34834;91453.18064;93395.70854;95485.0394;96591.31712
41;89774.9106;91281.52302;93289.61102;95410.84752;96507.18608
42;89603.00707;91123.11069;93175.11223;95310.74407;96429.77639
43;89423.54259;90975.37667;93056.03673;95210.2891;96346.57003
44;89229.69987;90812.13002;92923.74781;95098.03924;96254.56991
45;89034.21442;90642.8215;92788.83119;94973.84778;96153.08603
46;88821.48396;90468.69575;92647.36676;94847.88328;96045.10342
47;88606.78916;90281.26226;92476.64573;94704.87895;95920.99548
48;88371.74617;90082.96656;92300.92613;94550.05669;95785.4165
49;88121.77237;89856.20104;92098.08362;94371.74553;95626.76296
50;87855.12249;89619.39359;91872.57402;94172.55849;95447.57376
51;87574.52334;89365.84503;91637.21692;93958.28043;95254.67469
52;87270.45111;89072.94488;91376.55592;93718.60839;95036.77993
53;86934.65903;88761.50646;91087.43005;93449.3757;94788.89881
54;86576.83776;88411.65447;90764.1468;93145.93906;94507.30963
55;86207.18036;88048.52298;90434.89703;92840.06344;94226.368
56;85777.28458;87649.10269;90058.46368;92485.46937;93896.14107
57;85335.40451;87229.27604;89663.14862;92113.43024;93549.99519
58;84851.10905;86773.55523;89232.69946;91707.07851;93170.77259
59;84331.64712;86287.34289;88773.22659;91273.13223;92765.62797
60;83797.2338;85777.30047;88292.21357;90819.78245;92343.25787
61;83225.75713;85231.69341;87777.45508;90334.45477;91890.95089
62;82605.39124;84637.48093;87214.58035;89801.6473;91392.43645
63;81959.28898;84019.38487;86630.01535;89249.21573;90876.43027
64;81277.38561;83367.36718;86013.78611;88667.28358;90333.28846
65;80558.32753;82680.63918;85365.74918;88056.28793;89763.9565
66;79809.79389;81968.11253;84696.17074;87427.65273;89180.69834
67;79016.95861;81213.1764;83986.50773;86761.21384;88562.24706
68;78185.32108;80421.50903;83242.62605;86062.98456;87914.65851
69;77339.73921;79621.5128;82496.74752;85368.36767;87275.51726
70;76442.41841;78771.05718;81702.13883;84626.87184;86591.92142
71;75507.09317;77886.32192;80877.61517;83859.50854;85886.4277
72;74513.6956;76945.84397;80000.29956;83042.32441;85134.5759
73;73472.05641;75959.49311;79080.07424;82185.17135;84346.04054
74;72373.32121;74919.82354;78111.10856;81283.67737;83517.78926
75;71220.47675;73829.22985;77095.16038;80339.06283;82650.58222
76;69988.45962;72661.68229;76005.3114;79323.84572;81716.96028
77;68673.30135;71413.04016;74837.28497;78233.68964;80712.6375
78;67282.63212;70091.37541;73599.63841;77077.55807;79646.8029
79;65768.236;68647.07801;72241.52155;75803.88249;78468.19693
80;64132.15507;67080.06938;70760.49737;74408.18068;77170.65681
