"","lxR1961","lxR1965","lxR1970","lxR1975","lxR1980"
"1",1e+05,1e+05,1e+05,1e+05,1e+05
"2",95697.0140549596,96731.4060541139,97513.7951041268,98353.467863267,98973.0998317682
"3",95425.3336377144,96572.7033802683,97376.981778755,98246.8122113266,98888.1184385212
"4",95284.8755686339,96484.5727337222,97291.3277225744,98173.2528969435,98847.6814674404
"5",95202.2041760248,96422.7459380879,97229.1784208616,98124.7672859583,98814.5730398104
"6",95139.9622875911,96370.4989687182,97185.435132812,98090.5277169803,98788.3906471219
"7",95092.0238270902,96328.2016039425,97151.2318794179,98057.8690089255,98765.3756333502
"8",95050.3826400739,96287.4633907961,97122.4793701529,98033.9458075179,98740.9835979852
"9",95015.8856123861,96252.2286271568,97092.570252511,98011.8906509163,98721.1386546988
"10",94984.060621392,96222.3950604852,97064.9028125992,97992.2902328279,98706.1341819632
"11",94959.9377336009,96188.8193035787,97039.0869819566,97976.024862675,98690.441154224
"12",94936.8652720357,96161.601719004,97014.636212834,97958.9785173809,98674.7506214778
"13",94911.0459561087,96137.3720483093,96998.1451264202,97942.522791271,98659.8518589905
"14",94887.9853738021,96116.5125018356,96977.680676798,97925.4822748302,98641.897399808
"15",94860.3769870786,96089.5075560175,96961.7776412159,97910.3050013163,98630.9487568463
"16",94831.9231420592,96060.4929059478,96939.1881786978,97887.3966702208,98613.8870785465
"17",94805.3739204704,96028.8942017685,96916.022481024,97860.6770581568,98597.6171294494
"18",94765.8483206332,95998.4578664657,96884.0454698121,97836.7041289614,98569.7179515354
"19",94734.6754844672,95965.8239385589,96853.5318013919,97806.4772574372,98545.6698742207
"20",94698.2096540781,95931.3783907407,96817.2185357037,97779.2908356723,98518.475022225
"21",94668.5737524749,95893.7806595669,96775.499305009,97755.7288657983,98491.7801326515
"22",94632.9850594183,95857.5396600265,96733.7980514287,97729.142923235,98463.3201206649
"23",94598.5449209619,95819.108492072,96694.5321004079,97705.8861547747,98440.5777204642
"24",94563.3608064966,95782.0336710634,96660.3082936582,97682.7326034518,98409.5738215963
"25",94526.4882859236,95740.3775466236,96622.3282555762,97655.9712010306,98385.4664291656
"26",94488.2128089519,95699.6965308821,96588.4197692979,97626.2882975868,98362.3485609043
"27",94449.4805818067,95656.4500417567,96547.5715071429,97598.1759747316,98341.1045879642
"28",94411.5195207861,95605.0963165594,96505.389435177,97570.4620281352,98318.1937797044
"29",94366.7790640215,95554.9168131129,96471.7149304652,97542.0731542661,98297.9423176863
"30",94316.4949714911,95498.7470359413,96430.8195931462,97512.8149210548,98276.810531755
"31",94254.5493834205,95439.7470412714,96385.1222149377,97482.8830814115,98252.1461476917
"32",94191.9851339607,95380.783497335,96340.2172108515,97454.0324179176,98230.1401316285
"33",94138.0285850302,95309.6559634161,96304.5779237516,97424.9954427663,98202.3449349915
"34",94074.600928884,95255.535449055,96263.753437503,97395.2853499454,98172.103269968
"35",93995.7994311332,95206.1106518918,96222.0802545086,97363.8317525334,98147.170722171
"36",93917.5335279557,95158.9952881716,96178.6938799413,97329.6630441966,98118.5159319195
"37",93841.3034401467,95107.0526570825,96130.0397703278,97292.8793836777,98091.1446842635
"38",93779.6699503879,95046.2986613363,96081.4102734667,97252.3167102921,98059.6624797137
"39",93719.9513210129,94979.5995710567,96029.6363464027,97206.8132738758,98018.1920134884
"40",93649.5940567236,94904.2156963955,95978.5621655985,97160.7481618155,97976.6411088664
"41",93576.5758504598,94831.5468993214,95927.3232941807,97115.9673788834,97933.9326037971
"42",93495.3977211465,94755.7764510869,95865.5799343476,97061.54000907,97882.7921398136
"43",93409.3181266062,94677.3904021305,95799.198625499,97004.0326708928,97827.6833429362
"44",93316.8602279508,94594.3461672669,95728.6484575789,96943.1704658589,97770.8262559446
"45",93218.0824536853,94503.3884835064,95653.0001477617,96876.4815243631,97709.0773521158
"46",93109.6864362313,94405.8473346739,95570.8825826093,96805.2031669097,97642.5351182486
"47",92996.5728365401,94301.4181201815,95479.1505413468,96727.6679480926,97569.4441462371
"48",92876.1170060666,94190.8565183148,95383.7945770672,96646.1576706974,97492.6925361298
"49",92743.1573906271,94066.9893673988,95277.1998358381,96556.9511571941,97408.9492372867
"50",92603.0225641996,93937.8231795967,95163.7155656883,96462.4102889437,97320.1144530683
"51",92455.3284677911,93799.9448023331,95044.250327634,96362.2037684355,97225.9753711411
"52",92297.2494174842,93648.5523926933,94917.1794090515,96255.5993706355,97125.8236313834
"53",92122.6631919411,93486.3471737825,94778.8481346462,96139.0229296964,97015.8254308617
"54",91943.7156855491,93314.7811417595,94636.1260612429,96019.6025690042,96903.9652370698
"55",91746.481698079,93125.9647288085,94478.7284533886,95886.9594007452,96778.852359215
"56",91537.1434872507,92932.8124032766,94316.7825529918,95750.5865072427,96650.3438390442
"57",91317.6728392947,92727.7304374534,94144.6499825926,95605.4902603135,96513.5059365171
"58",91074.9133679485,92503.4051462057,93954.7943324698,95444.1307372917,96360.105384928
"59",90813.2897552512,92262.2980660397,93750.3059788235,95269.9821794978,96194.2505167518
"60",90543.382915222,92013.976069264,93541.5041622193,95093.6993786448,96027.858369408
"61",90249.5416540848,91742.0222718097,93311.0983048049,94897.7202787732,95841.53978707
"62",89936.3594196422,91451.9713236836,93065.1182304806,94688.3076891455,95642.3307846904
