"","lxR1961","lxR1965","lxR1970","lxR1975","lxR1980"
"1",1e+05,1e+05,1e+05,1e+05,1e+05
"2",94661.221343435,95775.1717927133,96817.9458603035,97932.8878853691,98646.9165280691
"3",94355.7698856088,95605.6084214435,96646.4396825198,97809.667946473,98544.3770554057
"4",94190.0381203716,95501.1685678189,96550.5173933317,97734.2857523221,98478.7683479863
"5",94096.8361176237,95425.0844559889,96482.6662292883,97674.0022954594,98426.5884284406
"6",94013.9733060726,95353.9238858774,96424.3118684138,97620.8820869074,98390.4724977606
"7",93960.212688878,95298.1581518813,96375.8226345863,97575.4989283213,98357.9106403512
"8",93905.4498482485,95249.8542307423,96332.4632702577,97542.0362710346,98327.6210684681
"9",93864.2344025554,95204.7164974797,96286.9087887657,97515.7034761688,98299.8965884785
"10",93819.2841998502,95165.0244065013,96241.5683324037,97482.5537724365,98278.4695465697
"11",93777.8252386642,95125.253738369,96209.9100642074,97458.7709308227,98253.3134783425
"12",93740.6965713459,95090.6344467193,96170.2797451067,97430.5119847999,98234.1559500733
"13",93701.7085510804,95061.9214107848,96142.7789777094,97405.3781549719,98213.7253704159
"14",93665.9213337724,95024.9495143899,96113.2676745482,97381.6141419117,98192.1207273452
"15",93625.9345225471,94989.7017965717,96080.3064765813,97353.3775681137,98162.8638346454
"16",93578.9460975114,94938.4212033617,96038.4245932081,97315.9037314636,98132.8305933979
"17",93527.678882267,94886.8836330986,95990.5133731855,97270.4678137078,98100.7464035589
"18",93465.5036490753,94824.4685982145,95925.9334888164,97197.639507516,98056.0226602124
"19",93382.5431163115,94751.0081009936,95844.431083873,97125.5456058389,97996.1287279633
"20",93286.2220334942,94663.7825898804,95740.2090396458,97042.2476225439,97917.6652534738
"21",93187.2046439285,94556.021911217,95627.875973743,96961.6390076491,97840.0473204382
"22",93085.5928329049,94459.6239318371,95493.0401674054,96879.0628686498,97756.4298264579
"23",92994.0416527379,94339.6419983385,95353.2452633274,96791.0398069837,97682.2608433487
"24",92875.2711618494,94203.4196363074,95218.1301581536,96708.9957918898,97595.7526833564
"25",92773.5356157353,94060.3391796074,95100.9887404715,96619.3880859624,97515.6594486762
"26",92650.8773665475,93914.3768126394,94991.8754364339,96540.9649826166,97448.4942977106
"27",92534.6734334205,93751.9516053936,94865.8099333484,96453.7313798607,97374.948448074
"28",92395.8830507791,93578.2028871018,94749.3862029207,96376.3101181992,97306.9071395462
"29",92248.8135499367,93397.0238923525,94629.3201031227,96292.3066013095,97247.2762823274
"30",92079.2317482623,93217.0346329049,94523.205536239,96218.4787151407,97185.1551204941
"31",91900.9549473543,93014.1357727479,94412.9612829,96143.64984713,97130.552406679
"32",91697.2527359297,92816.2264369945,94313.8796913885,96073.6827380689,97077.4365217071
"33",91484.0297231473,92609.4767779099,94206.3289123801,95997.6225011942,97025.0288560551
"34",91276.9615200687,92448.6612559585,94099.7476730327,95934.0931033291,96973.5222407389
"35",91065.4443292835,92298.5541434465,93986.6137266508,95863.7033120446,96918.5538371708
"36",90828.6182597925,92155.1413951652,93884.1302358193,95788.2882533637,96863.8103192966
"37",90605.7261676634,92004.4068049634,93766.7546073499,95720.5898649488,96803.386153997
"38",90431.0257021091,91856.0314313067,93659.1721254053,95651.5045388691,96738.4528670054
"39",90254.7667116095,91707.7119266735,93554.8003357582,95575.3006569985,96670.1796197376
"40",90089.5712979927,91543.4272803744,93447.1806956746,95506.9887385396,96600.9885415359
"41",89918.0240596169,91371.7613758205,93341.0849607817,95432.808627263,96516.8857073005
"42",89739.0215766589,91210.9792382744,93221.0212547484,95341.8319820958,96446.3173265502
"43",89554.900355332,91049.1366023602,93097.1661079406,95248.7800275166,96373.3951656986
"44",89360.5267447596,90877.0674179928,92964.594909771,95148.865182024,96295.5216756236
"45",89154.6579510315,90693.6685679144,92824.3117092456,95041.559179763,96212.3656829775
"46",88938.0089747481,90503.7892323665,92679.0325613852,94931.3703240651,96126.8509526212
"47",88706.8797489442,90297.9974231022,92517.3477094633,94811.5514725617,96033.8956059314
"48",88462.9823019773,90083.7851431122,92351.0520793109,94687.6744453243,95938.176237915
"49",88199.2399062111,89846.6506375516,92166.3319555644,94550.9071240647,95831.8265904263
"50",87918.1393258493,89596.2572641796,91967.8842803754,94404.4601395592,95717.8289148637
"51",87622.4223711352,89333.2233775045,91761.7868003387,94253.0122622878,95601.0824097435
"52",87304.4521044509,89042.9114721037,91539.6496058633,94089.2191682863,95474.4204040302
"53",86961.5295713,88735.8697379322,91301.6612368497,93912.8872055908,95337.4389967161
"54",86592.5797987086,88397.0386776199,91040.9889246375,93718.9391128299,95186.1869622099
